Product Name,Sales,Profit
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25,-1148.4375
Balt Solid Wood Round Tables,6518.754,-1201.0581
Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.1836
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784
GBC DocuBind P400 Electric Binding System,17965.068,-1878.1662000000003
Bush Advantage Collection Racetrack Conference Table,9544.725,-1934.3976
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001,-2876.1156
Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904
Lexmark MX611dhe Monochrome Laser Printer,16829.901,-4589.973
Cubify CubeX 3D Printer Double Head Print,11099.963,-8879.9704
